name,car_type,version,kms_driven,ownership_status,oil_type,down_payment,original_price,reduced_price,City
2019 Maruti Vitara Brezza,VDI,Manual,"55,523 km",1st Owner,Diesel,"₹15,327/month","₹8,19,000","₹7,84,000",New Delhi
2015 Maruti Swift,VDI ABS,Manual,"1,17,499 km",1st Owner,Diesel,"₹7,351/month","₹4,19,000","₹3,76,000",New Delhi
2018 Maruti Swift,VXI,Manual,"91,534 km",2nd Owner,Petrol,"₹9,951/month","₹5,37,000","₹5,09,000",New Delhi
2019 Maruti Vitara Brezza,VDI,Manual,"50,767 km",1st Owner,Diesel,"₹14,975/month","₹8,19,000","₹7,66,000",New Delhi
2015 Maruti Alto 800,LXI,Manual,"35,843 km",3rd Owner,Petrol,"₹4,594/month",N/A,"₹2,35,000",New Delhi
2019 Maruti Baleno,DELTA PETROL 1.2,Manual,"97,494 km",1st Owner,Petrol,"₹9,013/month","₹5,33,000","₹4,61,000",New Delhi
2019 Honda Amaze,1.2L I-VTEC S,Manual,"43,184 km",1st Owner,CNG,"₹12,317/month","₹6,63,000","₹6,30,000",New Delhi
2014 Maruti Wagon R 1.0,VXI,Manual,"97,752 km",1st Owner,Petrol,"₹5,611/month",N/A,"₹2,87,000",New Delhi
2018 Hyundai Elite i20,MAGNA EXECUTIVE 1.2,Manual,"53,083 km",1st Owner,Petrol,"₹9,951/month","₹5,65,000","₹5,09,000",New Delhi
2019 Toyota Glanza,V CVT,Automatic,"37,778 km",1st Owner,Petrol,"₹15,190/month","₹8,79,000","₹7,77,000",New Delhi
2014 Maruti Wagon R 1.0,VXI,Manual,"79,204 km",2nd Owner,Petrol,"₹4,868/month","₹2,80,000","₹2,49,000",New Delhi
2019 Maruti Vitara Brezza,VDI,Manual,"61,307 km",1st Owner,Diesel,"₹13,451/month","₹8,05,000","₹6,88,000",New Delhi
2010 Maruti Wagon R 1.0,VXI,Manual,"61,569 km",2nd Owner,Petrol,"₹3,402/month","₹1,90,000","₹1,74,000",New Delhi
2019 Honda Amaze,1.2L I-VTEC S,Manual,"37,783 km",1st Owner,Petrol,"₹12,141/month","₹6,51,000","₹6,21,000",New Delhi
2019 Maruti Alto,LXI,Manual,"18,475 km",1st Owner,Petrol,"₹6,647/month","₹3,86,000","₹3,40,000",New Delhi
2018 Ford Ecosport,TITANIUM 1.5L DIESEL,Manual,"79,371 km",1st Owner,Diesel,"₹12,043/month","₹6,61,000","₹6,16,000",New Delhi
2020 Maruti Swift,LXI,Manual,"44,817 km",2nd Owner,Petrol,"₹9,873/month","₹5,40,000","₹5,05,000",New Delhi
2021 Renault Kiger,RXZ MT DUAL TONE,Manual,"45,459 km",1st Owner,Petrol,"₹13,275/month","₹8,32,000","₹6,79,000",New Delhi
2014 Maruti Alto K10,VXI,Manual,"47,899 km",1st Owner,Petrol,"₹4,653/month","₹2,65,000","₹2,38,000",New Delhi
2018 Maruti Swift,VXI,Manual,"34,966 km",1st Owner,Petrol,"₹10,792/month","₹6,07,000","₹5,52,000",New Delhi
2016 Maruti Alto 800,LXI,Manual,"89,634 km",1st Owner,Petrol,"₹4,575/month","₹2,92,000","₹2,34,000",New Delhi
2014 Maruti Alto 800,LXI,Manual,"1,02,337 km",1st Owner,Petrol,"₹4,262/month",N/A,"₹2,18,000",New Delhi
2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"81,711 km",1st Owner,Petrol,"₹10,929/month","₹6,17,000","₹5,59,000",New Delhi
2019 Maruti Celerio X,ZXI (O),Manual,"54,711 km",1st Owner,Petrol,"₹9,189/month","₹5,60,000","₹4,70,000",New Delhi
2017 Maruti Alto 800,LXI,Manual,"25,868 km",1st Owner,Petrol,"₹6,158/month","₹3,38,000","₹3,15,000",New Delhi
2018 Maruti Swift,VDI,Manual,"66,434 km",1st Owner,Diesel,"₹11,241/month","₹6,54,000","₹5,75,000",New Delhi
2019 Maruti Baleno,DELTA PETROL 1.2,Manual,"50,555 km",1st Owner,Petrol,"₹11,320/month","₹6,35,000","₹5,79,000",New Delhi
2018 Hyundai Elite i20,SPORTZ 1.2,Manual,"54,617 km",1st Owner,Petrol,"₹11,593/month","₹6,54,000","₹5,93,000",New Delhi
2016 Maruti Alto 800,LXI,Manual,"67,999 km",3rd Owner,Petrol,"₹4,888/month",N/A,"₹2,50,000",New Delhi
2013 Maruti Swift,VXI,Manual,"77,946 km",1st Owner,Petrol,"₹7,058/month","₹4,24,000","₹3,61,000",New Delhi
2019 Maruti Baleno,ZETA PETROL 1.2,Manual,"47,644 km",1st Owner,Petrol,"₹11,945/month","₹6,94,000","₹6,11,000",New Delhi
2018 Maruti IGNIS,SIGMA 1.2,Manual,"77,588 km",1st Owner,Petrol,"₹7,585/month","₹4,40,000","₹3,88,000",New Delhi
2019 Maruti Ciaz,ALPHA DIESEL 1.5,Manual,"92,089 km",3rd Owner,Diesel,"₹15,249/month","₹8,82,000","₹7,80,000",New Delhi
2019 Honda Amaze,1.2L I-VTEC V,Manual,"67,773 km",1st Owner,CNG,"₹11,671/month","₹6,47,000","₹5,97,000",New Delhi
2019 Toyota Etios Liva,V DUAL TONE,Manual,"82,515 km",1st Owner,CNG,"₹9,892/month","₹5,47,000","₹5,06,000",New Delhi
2014 Hyundai Verna,FLUIDIC 1.6 VTVT SX,Manual,"94,348 km",3rd Owner,Petrol,"₹7,546/month","₹4,21,000","₹3,86,000",New Delhi
2019 Maruti Celerio X,VXI,Manual,"20,802 km",1st Owner,Petrol,"₹8,798/month","₹4,80,000","₹4,50,000",New Delhi
2015 Maruti Celerio,ZXI AMT,Automatic,"1,06,212 km",1st Owner,Petrol,"₹6,823/month","₹3,88,000","₹3,49,000",New Delhi
2019 Maruti Dzire,VDI,Manual,"84,217 km",1st Owner,Diesel,"₹12,219/month","₹6,94,000","₹6,25,000",New Delhi
2018 Maruti Vitara Brezza,VDI,Manual,"99,561 km",1st Owner,Diesel,"₹13,196/month","₹7,32,000","₹6,75,000",New Delhi
2017 Maruti Swift,VXI O,Manual,"1,02,887 km",1st Owner,Petrol,"₹8,719/month","₹4,98,000","₹4,46,000",New Delhi
2014 Maruti Swift Dzire,ZXI,Manual,"1,08,939 km",2nd Owner,Petrol,"₹7,605/month","₹4,33,000","₹3,89,000",New Delhi
2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"64,129 km",2nd Owner,Petrol,"₹11,222/month","₹6,00,000","₹5,74,000",New Delhi
2016 Maruti Alto 800,LXI,Manual,"98,428 km",1st Owner,Petrol,"₹5,337/month","₹2,86,000","₹2,73,000",New Delhi
2017 Maruti Celerio,VXI,Manual,"93,026 km",3rd Owner,CNG,"₹6,862/month","₹3,99,000","₹3,51,000",New Delhi
2019 Maruti Celerio,VXI (O) CNG,Manual,"1,12,479 km",1st Owner,CNG,"₹8,758/month","₹5,10,000","₹4,48,000",New Delhi
2018 Maruti Alto 800,LXI,Manual,"89,267 km",1st Owner,Petrol,"₹6,276/month","₹3,31,000","₹3,21,000",New Delhi
2018 Hyundai Elite i20,SPORTZ 1.2,Manual,"77,753 km",1st Owner,Petrol,"₹12,082/month","₹6,51,000","₹6,18,000",New Delhi
2021 Maruti New Wagon-R,LXI CNG 1.0,Manual,"77,064 km",1st Owner,CNG,"₹9,775/month","₹5,99,000","₹5,00,000",New Delhi
2019 Hyundai Creta,SX 1.6 PETROL,Manual,"26,704 km",1st Owner,Petrol,"₹19,681/month","₹11,20,000","₹10,34,000",New Delhi
2019 Tata TIAGO NRG,PETROL,Manual,"14,209 km",1st Owner,Petrol,"₹10,498/month","₹5,69,000","₹5,37,000",New Delhi
2019 Maruti Swift,LXI,Manual,"74,150 km",1st Owner,Petrol,"₹9,873/month","₹5,37,000","₹5,05,000",New Delhi
2018 Honda WR-V,1.2L I-VTEC S MT,Manual,"27,235 km",1st Owner,Petrol,"₹11,456/month","₹7,10,000","₹5,86,000",New Delhi
2021 Maruti S PRESSO,VXI CNG,Manual,"58,737 km",1st Owner,CNG,"₹8,583/month","₹4,80,000","₹4,39,000",New Delhi
2014 Maruti Swift,VDI,Manual,"68,744 km",3rd Owner,Diesel,"₹6,119/month","₹3,29,000","₹3,13,000",New Delhi
2010 Maruti Zen Estilo,VXI,Manual,"82,224 km",1st Owner,Petrol,"₹2,835/month","₹1,57,000","₹1,45,000",New Delhi
2021 Mahindra Scorpio,S11,Manual,"18,120 km",2nd Owner,Diesel,"₹30,150/month","₹19,29,000","₹15,84,000",New Delhi
2021 Nissan MAGNITE,XL,Manual,"42,047 km",1st Owner,Petrol,"₹11,339/month","₹6,04,000","₹5,80,000",New Delhi
2018 Honda Amaze,1.2L I-VTEC V CVT,Automatic,"54,426 km",1st Owner,Petrol,"₹12,278/month","₹7,15,000","₹6,28,000",New Delhi
2019 Maruti Baleno,ZETA PETROL 1.2,Manual,"73,679 km",1st Owner,Petrol,"₹11,378/month","₹6,46,000","₹5,82,000",New Delhi
2021 Hyundai AURA,S 1.2 CNG,Manual,"47,673 km",1st Owner,CNG,"₹14,369/month","₹8,00,000","₹7,35,000",New Delhi
2018 Maruti Wagon R 1.0,VXI AMT,Automatic,"32,685 km",1st Owner,Petrol,"₹7,781/month","₹4,78,000","₹3,98,000",New Delhi
2011 Honda City,1.5L I-VTEC S MT,Manual,"63,547 km",1st Owner,Petrol,"₹5,494/month","₹2,94,000","₹2,81,000",New Delhi
2019 Hyundai NEW SANTRO,SPORTZ CNG,Manual,"58,135 km",1st Owner,CNG,"₹10,303/month","₹5,47,000","₹5,27,000",New Delhi
2020 Honda WR-V,1.5 i-DTEC VX MT,Manual,"61,360 km",1st Owner,Diesel,"₹15,798/month","₹10,55,000","₹8,30,000",New Delhi
2018 Hyundai Creta,SX (O) 1.6 PETROL,Manual,"60,036 km",1st Owner,Petrol,"₹18,634/month","₹11,06,000","₹9,79,000",New Delhi
2018 Hyundai Verna,1.6 VTVT SX,Manual,"49,021 km",2nd Owner,CNG,"₹14,545/month",N/A,"₹7,44,000",New Delhi
2019 Maruti Baleno,ZETA PETROL 1.2,Manual,"33,459 km",2nd Owner,Petrol,"₹11,320/month","₹6,68,000","₹5,79,000",New Delhi
2019 Tata Tiago,XZ DIESEL,Manual,"29,229 km",1st Owner,Diesel,"₹9,619/month","₹5,22,000","₹4,92,000",New Delhi
2012 Hyundai i10,MAGNA 1.2,Manual,"54,346 km",2nd Owner,Petrol,"₹4,360/month","₹2,48,000","₹2,23,000",New Delhi
2013 Maruti Alto 800,LXI,Manual,"47,294 km",1st Owner,Petrol,"₹3,734/month","₹2,12,000","₹1,91,000",New Delhi
2016 Hyundai Elite i20,ASTA 1.2 (O),Manual,"41,304 km",1st Owner,Petrol,"₹11,476/month",N/A,"₹5,87,000",New Delhi
2019 Toyota Fortuner,2.8 4X2 MT,Manual,"93,293 km",1st Owner,Diesel,"₹51,392/month",N/A,"₹27,00,000",New Delhi
2020 Renault Kwid,RXT 1.0 (O),Manual,"18,229 km",1st Owner,Petrol,"₹7,585/month","₹4,15,000","₹3,88,000",New Delhi
2021 Renault Kiger,RXZ 1.0 TURBO MT DUAL TONE,Manual,"6,835 km",1st Owner,Petrol,"₹15,542/month","₹9,88,000","₹7,95,000",New Delhi
2017 Honda City,1.5L I-VTEC ZX CVT,Automatic,"63,782 km",1st Owner,Petrol,"₹16,522/month","₹9,22,000","₹8,68,000",New Delhi
2012 Maruti Swift,VXI,Manual,"1,20,587 km",2nd Owner,Petrol,"₹5,005/month","₹2,89,000","₹2,56,000",New Delhi
2019 Hyundai Elite i20,MAGNA PLUS 1.4 CRDI,Manual,"78,471 km",1st Owner,Diesel,"₹11,632/month","₹6,30,000","₹5,95,000",New Delhi
2011 Maruti Alto,LXI,Manual,"1,07,439 km",2nd Owner,Petrol,"₹2,463/month","₹1,64,000","₹1,26,000",New Delhi
2019 Honda Jazz,1.5L I-DTEC VX,Manual,"27,238 km",1st Owner,Diesel,"₹14,760/month","₹7,94,000","₹7,55,000",New Delhi
2020 Honda Amaze,1.2L I-VTEC S,Manual,"38,872 km",1st Owner,Petrol,"₹12,414/month","₹6,76,000","₹6,35,000",New Delhi
2018 Hyundai Xcent,SX 1.2 (O),Manual,"12,880 km",1st Owner,Petrol,"₹12,844/month","₹7,11,000","₹6,57,000",New Delhi
2018 Maruti Dzire,VXI AMT,Automatic,"21,912 km",1st Owner,Petrol,"₹11,730/month","₹6,49,000","₹6,00,000",New Delhi
2016 Honda City,1.5L I-VTEC VX CVT,Automatic,"1,06,280 km",2nd Owner,CNG,"₹13,157/month","₹7,20,000","₹6,73,000",New Delhi
2013 Maruti Wagon R Stingray,LXI,Manual,"82,031 km",2nd Owner,Petrol,"₹5,591/month","₹2,95,000","₹2,86,000",New Delhi
2010 Honda City,1.5L I-VTEC S MT,Manual,"98,932 km",1st Owner,Petrol,"₹3,539/month","₹2,01,000","₹1,81,000",New Delhi
2021 Maruti Vitara Brezza,VXI,Manual,"23,956 km",1st Owner,Petrol,"₹15,836/month","₹8,40,000","₹8,32,000",New Delhi
2013 Maruti Alto 800,LXI,Manual,"76,659 km",1st Owner,Petrol,"₹3,871/month","₹2,19,000","₹1,98,000",New Delhi
2022 Honda Amaze,1.2L I-VTEC S,Manual,"29,183 km",1st Owner,Petrol,"₹13,587/month","₹7,31,000","₹6,95,000",New Delhi
2010 Maruti Ritz,VXI,Manual,"82,020 km",2nd Owner,Petrol,"₹3,030/month",N/A,"₹1,55,000",New Delhi
2016 Honda City,1.5L I-VTEC VX,Manual,"46,324 km",1st Owner,Petrol,"₹14,663/month","₹7,79,000","₹7,50,000",New Delhi
2022 Hyundai GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT CNG,Manual,"32,874 km",1st Owner,CNG,"₹13,060/month","₹7,71,000","₹6,68,000",New Delhi
2018 Hyundai Elite i20,ASTA 1.2 (O),Manual,"28,578 km",1st Owner,Petrol,"₹14,213/month","₹7,41,000","₹7,27,000",New Delhi
2021 Hyundai GRAND I10 NIOS,MAGNA 1.2 KAPPA VTVT,Manual,"45,851 km",1st Owner,Petrol,"₹9,501/month","₹5,06,000","₹4,86,000",New Delhi
2019 Honda City,1.5L I-VTEC ZX CVT,Automatic,"86,979 km",1st Owner,Petrol,"₹18,197/month","₹11,57,000","₹9,56,000",New Delhi
2019 Honda WR-V,1.2L I-VTEC S ALIVE EDITION,Manual,"68,714 km",1st Owner,Petrol,"₹11,867/month","₹7,25,000","₹6,07,000",New Delhi
2020 Hyundai Creta,SX 1.5 DIESEL,Manual,"36,272 km",2nd Owner,Diesel,"₹24,573/month","₹14,05,000","₹12,91,000",New Delhi
2021 Tata Tiago,XE PETROL,Manual,"39,232 km",2nd Owner,Petrol,"₹8,876/month","₹4,97,000","₹4,54,000",New Delhi
2016 Hyundai Grand i10,ASTA (O) 1.2 KAPPA VTVT,Manual,"62,064 km",2nd Owner,Petrol,"₹9,052/month","₹4,83,000","₹4,63,000",New Delhi
2017 Maruti IGNIS,DELTA 1.2 AMT,Automatic,"61,305 km",1st Owner,Petrol,"₹8,993/month","₹4,96,000","₹4,60,000",New Delhi
2020 KIA SELTOS,HTX PLUS AT1.5 DIESEL,Automatic,"99,403 km",1st Owner,Diesel,"₹24,249/month","₹13,74,000","₹12,74,000",New Delhi
2010 Hyundai i20,MAGNA (O) 1.2,Manual,"45,708 km",1st Owner,Petrol,"₹4,203/month","₹2,23,000","₹2,15,000",New Delhi
2018 Ford FREESTYLE,TITANIUM 1.2 PETROL,Manual,"59,676 km",2nd Owner,Petrol,"₹9,052/month",N/A,"₹4,63,000",New Delhi
2023 Renault Kwid,CLIMBER 1.0 (O) DUAL TONE,Manual,"2,759 km",1st Owner,Petrol,"₹10,577/month",N/A,"₹5,41,000",New Delhi
2019 Maruti Baleno,DELTA PETROL 1.2,Manual,"26,337 km",1st Owner,Petrol,"₹11,241/month","₹6,03,000","₹5,75,000",New Delhi
2018 Ford Ecosport,TITANIUM 1.5L PETROL,Manual,"30,047 km",1st Owner,Petrol,"₹14,858/month","₹7,75,000","₹7,60,000",New Delhi
2018 Ford Ecosport,TITANIUM + 1.5L PETROL AT,Automatic,"87,339 km",1st Owner,Petrol,"₹14,037/month","₹7,32,000","₹7,18,000",New Delhi
2019 Hyundai Verna,1.4 EX CRDI,Manual,"78,366 km",2nd Owner,Diesel,"₹14,956/month","₹7,91,000","₹7,65,000",New Delhi
2015 Hyundai Elite i20,ASTA 1.2,Manual,"1,18,957 km",1st Owner,Petrol,"₹8,680/month","₹4,91,000","₹4,44,000",New Delhi
2011 Hyundai Santro Xing,GLS,Manual,"33,508 km",1st Owner,Petrol,"₹2,893/month","₹1,59,000","₹1,48,000",New Delhi
2016 Maruti Alto 800,VXI,Manual,"53,944 km",1st Owner,Petrol,"₹5,494/month","₹2,94,000","₹2,81,000",New Delhi
2018 Skoda Rapid,STYLE 1.5 TDI AT,Automatic,"73,603 km",1st Owner,Diesel,"₹14,369/month","₹8,37,000","₹7,35,000",New Delhi
2018 Maruti Alto 800,LXI CNG,Manual,"68,588 km",1st Owner,CNG,"₹6,100/month","₹3,43,000","₹3,12,000",New Delhi
2021 Maruti IGNIS,ZETA 1.2 AMT,Automatic,"24,156 km",1st Owner,Petrol,"₹13,294/month","₹6,93,000","₹6,80,000",New Delhi
2016 Maruti Swift,VXI,Manual,"77,150 km",2nd Owner,Petrol,"₹8,094/month",N/A,"₹4,14,000",New Delhi
2017 Maruti Baleno,DELTA PETROL 1.2,Manual,"85,782 km",1st Owner,Petrol,"₹8,915/month","₹5,27,000","₹4,56,000",New Delhi
2013 Maruti Wagon R 1.0,VXI,Manual,"77,151 km",2nd Owner,Petrol,"₹4,633/month","₹2,46,000","₹2,37,000",New Delhi
2019 Tata Harrier,XZ 2.0L,Manual,"71,440 km",1st Owner,Diesel,"₹22,593/month","₹12,24,000","₹11,87,000",New Delhi
2015 Hyundai Elite i20,MAGNA 1.2,Manual,"1,00,315 km",1st Owner,Petrol,"₹7,820/month","₹4,42,000","₹4,00,000",New Delhi
2019 Honda Amaze,VX AT I DTEC,Automatic,"70,181 km",2nd Owner,Diesel,"₹12,805/month","₹7,69,000","₹6,55,000",New Delhi
2019 Datsun Go Plus,A(O),Manual,"27,561 km",1st Owner,Petrol,"₹8,778/month","₹4,97,000","₹4,49,000",New Delhi
2018 Datsun Go,A EPS,Manual,"35,600 km",1st Owner,Petrol,"₹6,407/month","₹3,40,000","₹3,27,700",New Delhi
2021 Honda City,1.5L I-VTEC VX CVT,Automatic,"8,247 km",1st Owner,Petrol,"₹23,164/month","₹13,28,000","₹12,17,000",New Delhi
2016 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"43,216 km",2nd Owner,Petrol,"₹7,312/month","₹3,97,000","₹3,74,000",New Delhi
2021 Hyundai AURA,S 1.2 CNG,Manual,"43,011 km",1st Owner,CNG,"₹13,431/month","₹7,62,000","₹6,87,000",New Delhi
2011 Hyundai i10,MAGNA 1.2,Manual,"1,04,145 km",1st Owner,Petrol,"₹3,030/month","₹1,96,000","₹1,55,000",New Delhi
2018 Maruti Dzire,ZDI PLUS AMT,Automatic,"92,232 km",1st Owner,Diesel,"₹10,733/month","₹6,08,000","₹5,49,000",New Delhi
2018 Maruti Wagon R 1.0,LXI,Manual,"30,073 km",1st Owner,Petrol,"₹7,566/month","₹4,17,000","₹3,87,000",New Delhi
2019 Datsun Redi Go,A,Manual,"11,430 km",1st Owner,Petrol,"₹5,063/month","₹2,88,000","₹2,59,000",New Delhi
2019 Tata NEXON,XM PETROL,Manual,"95,344 km",1st Owner,Petrol,"₹12,102/month","₹6,37,000","₹6,19,000",New Delhi
2018 Maruti Ciaz,DELTA 1.5 SHVS MT PETROL,Manual,"48,963 km",1st Owner,Petrol,"₹14,604/month","₹7,84,000","₹7,47,000",New Delhi
2019 Maruti Baleno,ZETA CVT PETROL 1.2,Automatic,"63,534 km",1st Owner,Petrol,"₹12,590/month","₹6,92,000","₹6,44,000",New Delhi
2019 Honda WR-V,1.5L I-DTEC VX MT,Manual,"51,286 km",2nd Owner,Diesel,"₹13,900/month","₹7,55,000","₹7,11,000",New Delhi
2020 Hyundai VENUE,SX PLUS 1.0 TURBO DCT,Automatic,"57,163 km",1st Owner,Petrol,"₹17,378/month","₹10,21,000","₹9,13,000",New Delhi
2011 Hyundai i20,MAGNA (O) 1.2,Manual,"73,041 km",1st Owner,Petrol,"₹4,242/month","₹2,36,000","₹2,17,000",New Delhi
2020 Toyota Glanza,G,Manual,"69,492 km",1st Owner,Petrol,"₹12,610/month","₹6,64,000","₹6,45,000",New Delhi
2018 Honda WR-V,1.5L I-DTEC S MT,Manual,"51,594 km",2nd Owner,Diesel,"₹10,987/month","₹6,07,000","₹5,62,000",New Delhi
2021 Maruti Baleno,DELTA PETROL 1.2,Manual,"22,068 km",1st Owner,Petrol,"₹13,177/month","₹7,23,000","₹6,74,000",New Delhi
2011 Maruti Swift,VXI D,Manual,"76,904 km",2nd Owner,Petrol,"₹4,145/month","₹2,55,000","₹2,12,000",New Delhi
2021 Hyundai AURA,S 1.2 CNG,Manual,"76,440 km",1st Owner,CNG,"₹13,626/month","₹7,31,000","₹6,97,000",New Delhi
2020 Hyundai Verna,SX 1.5 VTVT,Manual,"47,841 km",1st Owner,Petrol,"₹18,406/month","₹10,47,000","₹9,67,000",New Delhi
2013 Honda City,S MT PETROL,Manual,"38,002 km",1st Owner,Petrol,"₹8,583/month","₹5,13,000","₹4,39,000",New Delhi
2018 Datsun Redi Go,T (O),Manual,"76,306 km",1st Owner,Petrol,"₹4,027/month","₹2,22,000","₹2,06,000",New Delhi
2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"18,743 km",1st Owner,Petrol,"₹12,023/month","₹6,27,000","₹6,15,000",New Delhi
2022 Renault TRIBER,RXT,Manual,"7,032 km",1st Owner,Petrol,"₹13,881/month","₹7,54,000","₹7,10,000",New Delhi
2019 Mahindra XUV500,W9,Manual,"46,118 km",1st Owner,Diesel,"₹23,222/month","₹13,06,000","₹12,20,000",New Delhi
2011 Maruti Ritz,VXI,Manual,"89,458 km",1st Owner,Petrol,"₹3,421/month",N/A,"₹1,75,000",New Delhi
2011 Hyundai i10,ERA 1.1,Manual,"97,780 km",1st Owner,Petrol,"₹2,874/month","₹1,53,000","₹1,47,000",New Delhi
2023 Toyota Glanza,V,Manual,"3,592 km",1st Owner,Petrol,"₹16,864/month","₹9,44,000","₹8,86,000",New Delhi
2010 Hyundai i10,ERA 1.1,Manual,"61,063 km",1st Owner,Petrol,"₹3,148/month",N/A,"₹1,61,000",New Delhi
2012 Honda City,1.5L I-VTEC E MT,Manual,"67,204 km",1st Owner,Petrol,"₹6,002/month","₹3,53,000","₹3,07,000",New Delhi
2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"89,440 km",1st Owner,Petrol,"₹10,674/month","₹5,56,000","₹5,46,000",New Delhi
2019 Tata Harrier,XZ 2.0L,Manual,"74,257 km",1st Owner,Diesel,"₹23,279/month","₹12,54,000","₹12,23,000",New Delhi
2017 Maruti Ciaz,SIGMA 1.4 MT PETROL,Manual,"40,049 km",1st Owner,Petrol,"₹11,202/month","₹6,01,000","₹5,73,000",New Delhi
2020 Renault TRIBER,RXT,Manual,"1,10,490 km",1st Owner,Petrol,"₹9,540/month","₹5,27,000","₹4,88,000",New Delhi
2019 Maruti Vitara Brezza,ZDI PLUS,Manual,"57,033 km",1st Owner,Diesel,"₹13,978/month","₹7,79,000","₹7,15,000",New Delhi
2019 Hyundai GRAND I10 NIOS,ASTA 1.2 KAPPA VTVT,Manual,"26,940 km",1st Owner,Petrol,"₹13,157/month","₹7,12,000","₹6,73,000",New Delhi
2016 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"43,889 km",1st Owner,Petrol,"₹7,625/month",N/A,"₹3,90,000",New Delhi
2018 Volkswagen Vento,HIGHLINE DIESEL 1.5,Manual,"1,05,792 km",1st Owner,Diesel,"₹13,900/month","₹7,76,000","₹7,11,000",New Delhi
2018 Toyota Innova Crysta,2.4 VX 7 STR,Manual,"71,914 km",1st Owner,Diesel,"₹29,941/month","₹17,35,000","₹15,73,000",New Delhi
2019 Jeep Compass,LIMITED PLUS DIESEL,Manual,"82,520 km",1st Owner,Diesel,"₹23,450/month","₹13,14,000","₹12,32,000",New Delhi
2018 Honda Amaze,1.2L I-VTEC S,Manual,"47,914 km",1st Owner,Petrol,"₹9,951/month","₹6,23,000","₹5,09,000",New Delhi
2010 Maruti Wagon R 1.0,LXI,Manual,"45,868 km",2nd Owner,Petrol,"₹3,011/month","₹1,69,000","₹1,54,000",New Delhi
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"55,215 km",1st Owner,Petrol,"₹7,683/month","₹4,38,000","₹3,93,000",New Delhi
2022 Tata NEXON,XZ PLUS (HS) PETROL,Manual,"10,978 km",1st Owner,Petrol,"₹19,605/month","₹11,18,000","₹10,30,000",New Delhi
2020 Mahindra Scorpio,S5,Manual,"55,551 km",1st Owner,Diesel,"₹22,841/month",N/A,"₹12,00,000",New Delhi
2016 Tata Tiago,XM PETROL,Manual,"89,001 km",1st Owner,Petrol,"₹7,253/month","₹3,81,000","₹3,71,000",New Delhi
2016 Hyundai Elite i20,MAGNA 1.2,Manual,"69,252 km",1st Owner,Petrol,"₹9,501/month","₹5,05,000","₹4,86,000",New Delhi
2017 Maruti Swift Dzire,VXI,Manual,"58,225 km",1st Owner,Petrol,"₹9,267/month","₹5,04,000","₹4,74,000",New Delhi
2015 Hyundai Elite i20,ASTA 1.2,Manual,"82,516 km",2nd Owner,Petrol,"₹9,169/month","₹4,97,000","₹4,69,000",New Delhi
2017 Maruti Dzire,VXI,Manual,"74,884 km",1st Owner,Petrol,"₹9,873/month","₹5,20,000","₹5,05,000",New Delhi
2021 Maruti Baleno,ZETA CVT PETROL 1.2,Automatic,"6,012 km",1st Owner,Petrol,"₹16,864/month","₹9,08,000","₹8,86,000",New Delhi
2018 Maruti Ciaz,ALPHA 1.5 SHVS PETROL,Manual,"75,831 km",2nd Owner,Petrol,"₹15,288/month","₹8,21,000","₹7,82,000",New Delhi
2013 Maruti Alto 800,LXI,Manual,"31,901 km",2nd Owner,Petrol,"₹3,621/month",N/A,"₹1,85,200",New Delhi
2020 KIA SELTOS,HTX 1.5 PETROL,Manual,"62,891 km",1st Owner,Petrol,"₹19,662/month","₹11,21,000","₹10,33,000",New Delhi
2010 Maruti Wagon R 1.0,LXI,Manual,"80,982 km",2nd Owner,Petrol,"₹2,659/month","₹1,50,000","₹1,36,000",New Delhi
2020 KIA SELTOS,HTX PLUS 1.5 DIESEL,Manual,"64,655 km",1st Owner,Diesel,"₹23,659/month","₹13,53,000","₹12,43,000",New Delhi
2016 Maruti Celerio,ZXI AMT,Automatic,"22,761 km",1st Owner,Petrol,"₹7,468/month","₹4,16,000","₹3,82,000",New Delhi
2019 Hyundai VENUE,SX 1.0 TURBO,Manual,"40,973 km",1st Owner,Petrol,"₹16,084/month",N/A,"₹8,45,000",New Delhi
2019 Jeep Compass,1.4  LONGITUDE (O) AT,Automatic,"23,690 km",1st Owner,Petrol,"₹29,065/month","₹20,13,000","₹15,27,000",New Delhi
2019 Hyundai VENUE,SX 1.0 (O) TURBO,Manual,"28,357 km",1st Owner,Petrol,"₹17,283/month","₹9,64,000","₹9,08,000",New Delhi
2020 Maruti S Cross,ALPHA 1.5,Manual,"6,260 km",1st Owner,Petrol,"₹18,863/month","₹11,65,000","₹9,91,000",New Delhi
2019 Hyundai VENUE,SX PLUS 1.0 TURBO DCT,Automatic,"21,997 km",1st Owner,Petrol,"₹19,129/month","₹10,45,000","₹10,05,000",New Delhi
2014 Maruti Swift Dzire,VXI,Manual,"57,669 km",1st Owner,Petrol,"₹6,452/month","₹3,43,000","₹3,30,000",New Delhi
