name,car_type,version,kms_driven,ownership_status,oil_type,down_payment,original_price,reduced_price,City
2015 Volkswagen Polo,HIGHLINE1.5L,Manual,"1,06,537 km",1st Owner,Diesel,"₹8,192/month","₹4,24,000","₹4,19,000",Hyderabad
2018 Honda Amaze,1.2L I-VTEC S,Manual,"82,077 km",1st Owner,Petrol,"₹11,906/month","₹6,45,000","₹6,09,000",Hyderabad
2019 Mahindra XUV500,W9,Manual,"93,825 km",3rd Owner,Diesel,"₹26,134/month","₹13,86,000","₹13,73,000",Hyderabad
2012 Hyundai i10,SPORTZ 1.2,Manual,"40,556 km",1st Owner,Petrol,"₹5,689/month","₹3,05,000","₹2,91,000",Hyderabad
2017 Maruti Wagon R 1.0,VXI (O) AMT,Automatic,"64,363 km",1st Owner,Petrol,"₹8,504/month","₹4,77,000","₹4,35,000",Hyderabad
2014 Maruti Swift,ZXI,Manual,"54,124 km",2nd Owner,Petrol,"₹9,677/month","₹5,25,000","₹4,95,000",Hyderabad
2014 Maruti Swift Dzire,VXI,Manual,"37,815 km",1st Owner,Petrol,"₹8,974/month","₹4,86,000","₹4,59,000",Hyderabad
2018 Hyundai New Elantra,2.0 SX(O) AT PETROL,Automatic,"46,379 km",2nd Owner,Petrol,"₹22,536/month","₹12,20,000","₹11,84,000",Hyderabad
2016 Datsun Go,T,Manual,"1,14,499 km",1st Owner,Petrol,"₹5,024/month","₹2,77,000","₹2,57,000",Hyderabad
2018 Honda City,1.5L I-VTEC V MT,Manual,"44,401 km",2nd Owner,Petrol,"₹15,034/month","₹8,07,000","₹7,69,000",Hyderabad
2017 Maruti Swift Dzire,VXI (O),Manual,"95,286 km",1st Owner,Petrol,"₹10,850/month","₹5,88,000","₹5,55,000",Hyderabad
2018 Hyundai New Elantra,2.0 SX(O) AT PETROL,Automatic,"44,123 km",1st Owner,Petrol,"₹22,194/month","₹12,53,000","₹11,66,000",Hyderabad
2018 Hyundai Verna,1.4 EX PETROL,Manual,"95,933 km",1st Owner,Petrol,"₹14,839/month","₹8,34,000","₹7,59,000",Hyderabad
2018 Tata Tiago,XZ PETROL,Manual,"82,228 km",2nd Owner,Petrol,"₹9,052/month",N/A,"₹4,63,000",Hyderabad
2020 KIA SELTOS,GTX PLUS 1.4 PETROL,Manual,"61,289 km",1st Owner,Petrol,"₹25,715/month","₹14,07,000","₹13,51,000",Hyderabad
2019 Maruti IGNIS,DELTA 1.2,Manual,"51,330 km",2nd Owner,Petrol,"₹9,032/month","₹5,16,000","₹4,62,000",Hyderabad
2018 Toyota Innova Crysta,2.4 ZX 7 STR,Manual,"93,765 km",2nd Owner,Diesel,"₹40,923/month",N/A,"₹21,50,000",Hyderabad
2018 Jeep Compass,LONGITUDE 2.0 DIESEL,Manual,"1,13,694 km",2nd Owner,Diesel,"₹20,747/month","₹11,05,000","₹10,90,000",Hyderabad
2019 Hyundai Verna,1.6 CRDI SX + AT,Automatic,"67,370 km",2nd Owner,Diesel,"₹19,282/month","₹10,98,000","₹10,13,000",Hyderabad
2019 Hyundai Elite i20,SPORTZ PLUS  1.2 CVT,Automatic,"46,366 km",1st Owner,Petrol,"₹13,157/month","₹7,44,000","₹6,73,000",Hyderabad
2017 Datsun Redi Go,T (O),Manual,"65,377 km",2nd Owner,Petrol,"₹5,220/month","₹2,84,000","₹2,67,000",Hyderabad
2017 Maruti Celerio X,ZXI AMT,Automatic,"48,408 km",1st Owner,Petrol,"₹9,443/month","₹5,25,000","₹4,83,000",Hyderabad
2017 Maruti Baleno,DELTA PETROL 1.2,Manual,"55,724 km",2nd Owner,Petrol,"₹10,831/month","₹5,80,000","₹5,54,000",Hyderabad
2016 Hyundai Verna,FLUIDIC 4S 1.6 VTVT SX,Manual,"61,768 km",2nd Owner,Petrol,"₹13,372/month","₹7,10,000","₹6,84,000",Hyderabad
2016 Skoda Rapid,1.5 TDI MT AMBITION,Manual,"71,723 km",1st Owner,Diesel,"₹14,135/month","₹7,45,000","₹7,23,000",Hyderabad
2018 Datsun Go Plus,T,Manual,"27,215 km",1st Owner,Petrol,"₹8,113/month","₹4,35,000","₹4,15,000",Hyderabad
2018 Renault Kwid,CLIMBER 1.0 AMT,Automatic,"37,830 km",1st Owner,Petrol,"₹7,625/month","₹4,13,000","₹3,90,000",Hyderabad
2016 Maruti Swift Dzire,VXI,Manual,"68,086 km",1st Owner,Petrol,"₹10,381/month","₹5,49,000","₹5,31,000",Hyderabad
2012 Maruti Ritz,VXI,Manual,"83,031 km",2nd Owner,Petrol,"₹5,318/month","₹2,85,000","₹2,72,000",Hyderabad
2019 Toyota Glanza,V CVT,Automatic,"39,014 km",1st Owner,Petrol,"₹14,663/month","₹8,05,000","₹7,50,000",Hyderabad
2019 Renault Kwid,CLIMBER 1.0,Manual,"43,183 km",1st Owner,Petrol,"₹7,155/month","₹3,94,000","₹3,66,000",Hyderabad
2018 Datsun Go Plus,T,Manual,"46,049 km",1st Owner,Petrol,"₹7,527/month","₹4,15,000","₹3,85,000",Hyderabad
2022 Maruti Swift,VXI,Manual,"23,808 km",1st Owner,Petrol,"₹14,272/month","₹7,84,000","₹7,30,000",Hyderabad
2018 Datsun Go,T,Manual,"62,680 km",2nd Owner,Petrol,"₹6,784/month","₹3,74,000","₹3,47,000",Hyderabad
2017 Maruti Alto 800,VXI,Manual,"54,860 km",1st Owner,Petrol,"₹5,826/month","₹3,47,000","₹2,98,000",Hyderabad
2018 Hyundai Elite i20,ASTA 1.2 (O),Manual,"49,241 km",2nd Owner,Petrol,"₹13,392/month","₹7,19,000","₹6,85,000",Hyderabad
2014 Maruti Celerio,ZXI,Manual,"1,07,913 km",2nd Owner,Petrol,"₹6,100/month","₹3,37,000","₹3,12,000",Hyderabad
